Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,10.178961404,10.178961404,3.0,0.0,0.0,-1.2320940248175198,0.0
Agranular insular area posterior part,14.771382586000001,14.771382586000001,3.0,0.0,0.0,-0.8330947457358909,0.0
Agranular insular area ventral part,4.670802146,4.670802146,2.0,0.47693608525080133,0.0,-0.7089973666949856,0.6017905808345452
Anterior amygdalar area,7.3165531999999995,7.3165531999999995,2.0,0.46251869815794566,0.0,-0.03706658577089131,0.6017905808345452
Anterior cingulate area dorsal part,18.130127202999997,18.130127202999997,3.0,0.2481745596117516,0.0,-0.7699307139614922,0.0
Anterior cingulate area ventral part,7.496546713,7.496546713,3.0,0.20793365167429756,0.0,-1.5419101111701392,0.0
Anterior hypothalamic nucleus,20.424990071999996,20.424990071999996,3.0,0.15842158632550385,0.0,-0.49581169298963434,0.0
Anterodorsal nucleus,36.757936335000004,36.757936335000004,3.0,0.0,0.0,1.0771436116963,0.0
Anterolateral visual area,34.79927992000001,34.79927992000001,3.0,0.0,0.0,0.9069713939091537,0.0
Anteroventral nucleus of thalamus,29.611718326000002,29.611718326000002,3.0,0.0,0.0,0.45626505532020706,0.0
Anteroventral periventricular nucleus,24.837558938000004,24.837558938000004,3.0,0.0,0.0,0.04147597597813933,0.0
Anteroventral preoptic nucleus,20.301754748000004,20.301754748000004,3.0,0.0,0.0,-0.35260429892322964,0.0
Basolateral amygdalar nucleus,6.415826336,6.415826336,1.0,0.0,0.0,1.2091595026017574,0.0
Bed nuclei of the stria terminalis,16.642699727,16.642699727,3.0,0.3401642141410389,0.0,-0.9847199092034823,0.0
Caudoputamen,38.883938697999994,38.883938697999994,3.0,0.0,0.0,1.2618551998859127,0.0
Central amygdalar nucleus,8.992652089,8.992652089,1.0,0.4152859373250658,0.0,1.1767222279992389,0.0
Central lateral nucleus of the thalamus,28.657499143,28.657499143,3.0,0.0,0.0,0.37336047165633396,0.0
Central medial nucleus of the thalamus,22.134277919999995,22.134277919999995,3.0,0.2141689162091882,0.0,-0.4279254737033657,0.0
Claustrum,1.8084635420000001,1.8084635420000001,1.0,0.0,0.2333055018312734,-0.9650298052173429,0.0
Cortical amygdalar area,15.585182433999996,15.585182433999996,2.0,0.4990465659518555,0.0,0.9922327467106169,0.6017905808345452
Cortical amygdalar area posterior part,6.516469521,6.516469521,1.0,0.0,0.0,1.2566524712511586,0.0
Culmen,1.809138875,1.809138875,1.0,0.0,0.49291395487723955,-0.9647111192675999,0.0
Dentate gyrus,36.83009408300001,36.83009408300001,3.0,0.0,0.0,1.0834128296733017,0.0
Diagonal band nucleus,28.926631584,28.926631584,3.0,0.0,0.0,0.3967432681553505,0.0
Dorsal auditory area,18.343507922,18.343507922,3.0,0.0,0.0,-0.522740930750543,0.0
Dorsal part of the lateral geniculate complex,37.99724510699999,37.99724510699999,3.0,0.0,0.0,1.1848173826748127,0.0
Dorsal peduncular area,32.031043059,32.031043059,3.0,0.0,0.0,0.6664611122748445,0.0
Dorsomedial nucleus of the hypothalamus,21.456355832000003,21.456355832000003,3.0,0.0804359190074928,0.0,-0.3305486902876293,0.0
Ectorhinal area,7.390569197,7.390569197,3.0,0.0,0.0,-1.4743554456015144,0.0
Endopiriform nucleus,6.312024932,6.312024932,1.0,0.0,0.0,1.1601761876765009,0.0
Entorhinal area lateral part,4.426103503,4.426103503,1.0,0.31470599120517684,0.0,-0.13836294260372695,0.0
Entorhinal area medial part,5.52133217,5.52133217,1.0,0.2691675659149413,0.0,0.3694703012546834,0.0
Field CA1,36.51429028999999,36.51429028999999,3.0,0.0,0.0,1.05597512726218,0.0
Field CA2,39.336346064000004,39.336346064000004,3.0,0.0,0.0,1.3011613100468735,0.0
Field CA3,36.615236636999995,36.615236636999995,3.0,0.0,0.0,1.064745559694813,0.0
Frontal pole cerebral cortex,42.834051285,42.834051285,3.0,0.0,0.0,1.6050493478185461,0.0
Fundus of striatum,9.384469747,9.384469747,2.0,0.0,0.4999880533802419,1.7044373813253273,-0.015281859277516652
Globus pallidus external segment,19.479741255,19.479741255,3.0,0.16429154907894106,0.0,-0.5768497308570039,0.0
Gustatory areas,3.76499765,3.76499765,1.0,0.49991884548960686,0.4849595734406962,-0.9187754474026261,0.0
Inferior colliculus,3.681324603,3.681324603,2.0,0.0,0.36774312855091706,-0.39776944702108397,0.03378589018421505
Infralimbic area,28.940569519,28.940569519,3.0,0.0,0.0,0.3979542254688223,0.0
Intercalated amygdalar nucleus,9.183838647999998,9.183838647999998,1.0,0.1714246482707662,0.0,2.1050629206007536,0.0
Interpeduncular nucleus,32.53078077000001,32.53078077000001,3.0,0.0,0.0,0.7098793830555015,0.0
Lateral amygdalar nucleus,3.7969277459999997,3.7969277459999997,1.0,0.0,0.0,-0.02668442096674959,0.0
Lateral dorsal nucleus of thalamus,31.566721956000002,31.566721956000002,3.0,0.0,0.0,0.6261199114099217,0.0
Lateral habenula,6.299248,6.299248,3.0,0.24624491197589138,0.4992037816333883,-1.6478730217226405,0.0
Lateral hypothalamic area,22.201290544000003,22.201290544000003,3.0,0.21259591817285672,0.0,-0.4208096029530948,0.0
Lateral posterior nucleus of the thalamus,34.694308072,34.694308072,3.0,0.0,0.0,0.897851217423594,0.0
Lateral preoptic area,18.17059912,18.17059912,3.0,0.0,0.0,-0.5377636136907047,0.0
Lateral septal complex,8.476489155000001,8.476489155000001,2.0,0.43170326800251035,0.0,0.3848942844417287,0.6017905808345452
Lateral visual area,7.1571751290000005,7.1571751290000005,2.0,0.6555254508742643,0.0,-0.7374752684177421,0.6017905808345452
Magnocellular nucleus,5.547150035,5.547150035,2.0,0.4493333112827754,0.0,-1.0578150186871003,0.6017905808345452
Medial amygdalar nucleus,12.836796047,12.836796047,2.0,0.4841807856110253,0.0,1.0319478113337246,0.6017905808345452
Medial geniculate complex,9.26145119,9.26145119,3.0,0.17167141029960475,0.0,-1.3881130863273927,0.0
Medial habenula,0.906867322,0.906867322,1.0,0.0,0.0,-1.3904881311922082,0.0
Medial preoptic area,35.77516717,35.77516717,3.0,0.0,0.0,0.991758545127149,0.0
Medial preoptic nucleus,21.956455107000004,21.956455107000004,3.0,0.0,0.0,-0.20884042706303083,0.0
Medial pretectal area,1.851959414,1.851959414,1.0,0.0,0.0,-0.9445043410711679,0.0
Medial septal nucleus,14.546178866999998,14.546178866999998,3.0,0.0,0.0,-0.8526609218261181,0.0
Median preoptic nucleus,0.934693641,0.934693641,2.0,0.0,0.0,-1.7547234649155723,-4.3266572255449525
Mediodorsal nucleus of thalamus,30.303518690999997,30.303518690999997,3.0,0.0,0.0,0.5163701362708173,0.0
Midbrain reticular nucleus,8.498866346,8.498866346,2.0,0.0,0.439782013522768,1.3779996930354488,0.01291384676652018
Nucleus accumbens,7.261730418,7.261730418,3.0,0.20917482319302638,0.0,-1.56041984145309,0.0
Olfactory tubercle,9.243775340000001,9.243775340000001,3.0,0.0,0.0,-1.3133449707903548,0.0
Olivary pretectal nucleus,1.728160395,1.728160395,1.0,0.0,0.10277245374250377,-1.0029244211609785,0.0
Orbital area lateral part,38.539302598000006,38.539302598000006,3.0,0.0,0.0,1.2319124855755466,0.0
Orbital area medial part,26.034756318,26.034756318,3.0,0.0,0.0,0.14549102002738398,0.0
Orbital area ventrolateral part,40.65721461599999,40.65721461599999,3.0,0.0,0.0,1.4159211674561352,0.0
Parasubiculum,6.6272284809999995,6.6272284809999995,2.0,0.0,0.46269505116775256,0.6881049418674783,-0.03837223138230834
Parasubthalamic nucleus,5.3602496969999995,5.3602496969999995,1.0,0.0,0.0,0.7110386589195219,0.0
Parataenial nucleus,29.555856367999997,29.555856367999997,3.0,0.0,0.0,0.45141165009303624,0.0
Paraventricular hypothalamic nucleus,19.710119935999998,19.710119935999998,3.0,0.0,0.0,-0.4040067844776558,0.0
Paraventricular nucleus of the thalamus,1.7775650809999999,1.7775650809999999,2.0,0.0,0.44459208235211656,-1.0995043960059103,0.6017905808345452
Pedunculopontine nucleus,6.4792947,6.4792947,2.0,0.23928986223942483,0.48133650153757657,0.30171492216193924,-0.5769229959336546
Periaqueductal gray,7.296692266,7.296692266,2.0,0.4999363063997173,0.3876939423589081,-0.39474728147941357,-0.030349866290059486
Perirhinal area,9.279062939,9.279062939,3.0,0.0,0.0,-1.310279109449782,0.0
Periventricular hypothalamic nucleus posterior part,5.374602392,5.374602392,3.0,0.0,0.4889073952610974,-1.6495069114557832,0.0
Periventricular zone,5.49609781,5.49609781,2.0,0.0,0.0,0.27116471673049447,0.6017905808345452
Piriform area,5.347024907,5.347024907,1.0,0.4997605461972242,0.37619472244796326,-0.5292088050984266,0.0
Piriform-amygdalar area,22.161217972,22.161217972,3.0,0.21327241679695974,0.0,-0.42472971942602716,0.0
Pons,4.608798554,4.608798554,2.0,0.305126733669828,0.0,-0.3750251141300556,0.6017905808345452
Pons motor related,3.585391799,3.585391799,2.0,0.49972615272803433,0.31390398723163526,-1.0784625688228884,0.026346213077330555
Posterior amygdalar nucleus,1.82236406,1.82236406,3.0,0.0,0.46173864922622176,-1.9581329014127575,0.0
Posterior complex of the thalamus,28.684333231,28.684333231,3.0,0.0,0.0,0.37569187405661436,0.0
Posterior hypothalamic nucleus,19.179021302999995,19.179021302999995,3.0,0.23927733508299298,0.0,-0.6816743268430753,0.0
Postsubiculum,0.982486216,0.982486216,2.0,0.0,0.44015960798213827,-1.3925743033771671,-0.5477995243929547
Precommissural nucleus,1.716185682,1.716185682,1.0,0.0,0.0,-1.0085752227437639,0.0
Prelimbic area,17.351184617999998,17.351184617999998,3.0,0.0,0.0,-0.6089560811517676,0.0
Presubiculum,8.250869126,8.250869126,3.0,0.1852567888140394,0.43168498348268436,-1.4736610324539368,0.0
Primary auditory area,1.8600713189999998,1.8600713189999998,3.0,0.0,0.4818696637403822,-1.9548568148865229,0.0
Primary motor area,31.080390676999997,31.080390676999997,3.0,0.0,0.0,0.5838664198363679,0.0
Primary somatosensory area lower limb,40.853206562,40.853206562,3.0,0.0,0.0,1.4329493628373244,0.0
Primary somatosensory area mouth,22.060021706,22.060021706,3.0,0.0,0.0,-0.19984234158692066,0.0
Primary somatosensory area trunk,40.41524510899999,40.41524510899999,3.0,0.0,0.0,1.3948983441943776,0.0
Primary somatosensory area upper limb,39.855684433,39.855684433,3.0,0.0,0.0,1.3462825275089418,0.0
Primary visual area,35.64127499399999,35.64127499399999,3.0,0.0,0.0,0.9801257092914322,0.0
Reticular nucleus of the thalamus,26.835962040000005,26.835962040000005,3.0,0.0,0.0,0.21510147011568675,0.0
Retrochiasmatic area,7.271886501,7.271886501,3.0,0.0,0.43763045648592436,-1.4846668496010142,0.0
Retrosplenial area dorsal part,35.19587098600001,35.19587098600001,3.0,0.0,0.0,0.9414280657066877,0.0
Retrosplenial area ventral part,1.814188224,1.814188224,1.0,0.0,0.3816453526687287,-0.9623283590861043,0.0
Secondary motor area,36.755754849000006,36.755754849000006,3.0,0.0,0.0,1.0769540795722132,0.0
Subiculum,3.692487485,3.692487485,3.0,0.0,0.44308843477499593,-1.795652617310482,0.0
Subparaventricular zone,3.6236457890000002,3.6236457890000002,3.0,0.38281670400942125,0.4999980582890904,-1.8828418928859338,0.0
Substantia innominata,10.185028259,10.185028259,2.0,0.15630310340948494,0.4295918182134353,1.678711665699277,0.03375646877935034
Substantia nigra compact part,7.564564621,7.564564621,2.0,0.0,0.44506399370680605,1.033611567459308,-0.6016597492689428
Substantia nigra reticular part,10.023045457999999,10.023045457999999,2.0,0.49322783382472646,0.0,0.30753367814938803,0.6017905808345452
Subthalamic nucleus,27.749535016999996,27.749535016999996,3.0,0.0,0.0,0.2944746253132486,0.0
Superior colliculus motor related,7.386927153999999,7.386927153999999,2.0,0.20390240822365058,0.499572725614443,0.6543817097852463,-0.04779687832402507
Superior colliculus sensory related,5.732182632000001,5.732182632000001,1.0,0.2669546954612946,0.0,0.4574170175542092,0.0
Supplemental somatosensory area,33.906057079,33.906057079,3.0,0.0,0.0,0.8293663016290435,0.0
Suprachiasmatic nucleus,0.982486216,0.982486216,2.0,0.0,0.0,-1.3925743033771671,-0.5416584775729997
Taenia tecta,34.68014014800001,34.68014014800001,3.0,0.0,0.0,0.8966202781786827,0.0
Temporal association areas,31.034252759000005,31.034252759000005,3.0,0.0,0.0,0.5798578598000016,0.0
Tuberal nucleus,5.647845417999999,5.647845417999999,1.0,0.2761046560754544,0.0,0.40589372795287104,0.0
Ventral anterior-lateral complex of the thalamus,36.05123879199999,36.05123879199999,3.0,0.0,0.0,1.0157442323686918,0.0
