Region,centrality,partition,pc,wmdz
Pons motor related,22.484827915199993,11.0,0.5633257361709227,-0.5026320811058783
Posterior amygdalar nucleus,25.318141343840004,3.0,0.9136059624051501,-2.247057803117704
Posterior complex of the thalamus,64.88736013074998,41.0,0.9728564162031007,0.0
Posterior hypothalamic nucleus,53.04226953199999,3.0,0.963943253723833,0.7566210216509409
Postsubiculum,12.136247044530002,10.0,0.6152044173421802,0.8594527632243516
Precommissural nucleus,14.6654516388,11.0,0.5598327468670989,-1.815890508019037
Prelimbic area,57.251789987189,42.0,0.9585337717220928,0.0
Presubiculum,53.7441773654,43.0,0.9496726178971813,0.0
Primary auditory area,32.1984217252,10.0,0.9258732652242225,1.155976536836641
Primary motor area,60.77828759760002,44.0,0.9707486815037564,0.0
Primary somatosensory area lower limb,64.83668959069998,45.0,0.975570758672075,0.0
Primary somatosensory area mouth,54.25524158819999,46.0,0.9618377485571716,0.0
Primary somatosensory area trunk,66.8890630481,47.0,0.9766854061372324,0.0
Primary somatosensory area upper limb,63.95477839259999,48.0,0.9749930133483481,0.0
Primary visual area,64.28892403361996,49.0,0.9736682948032368,0.0
Reticular nucleus of the thalamus,61.26874931209999,50.0,0.9711495667432154,0.0
Retrochiasmatic area,41.807997083900005,10.0,0.9532941040460867,0.8524211146067034
Retrosplenial area dorsal part,65.73612368492999,51.0,0.9757310630652408,0.0
Retrosplenial area ventral part,11.07881893914,10.0,0.6143912725929157,-0.1364487783161583
Secondary motor area,66.29631760989999,52.0,0.975878917972395,0.0
Subiculum,38.640690711800005,1.0,0.9251866618213701,-1.521088283446599
Subparaventricular zone,35.101793123050015,10.0,0.9245127733830638,0.1024730024402684
Substantia innominata,40.12239202737,11.0,0.8633552654340377,-0.2517216698825088
Substantia nigra compact part,33.29433161285999,11.0,0.7598103259438547,0.386534780239392
Substantia nigra reticular part,41.693173459314025,3.0,0.8993678427795779,-0.4226240405145062
Subthalamic nucleus,61.893773175639986,53.0,0.9719376558465102,0.0
Superior colliculus motor related,25.925226091488998,11.0,0.497674306440863,1.155427349968344
Superior colliculus sensory related,19.1616098883,11.0,0.1183929240764601,1.093110647482949
Supplemental somatosensory area,62.46933766749,54.0,0.974022994332033,0.0
Suprachiasmatic nucleus,12.712766611249997,10.0,0.6804952549722398,0.44729153726446
Taenia tecta,65.452920175,55.0,0.9744379343249973,0.0
Temporal association areas,60.24411942579399,56.0,0.9708291579541889,0.0
Tuberal nucleus,19.32802330351,11.0,0.1371187619138413,1.07324047238061
Ventral anterior-lateral complex of the thalamus,66.9756899642,57.0,0.9750615503687594,0.0
Ventral auditory area,59.21106708200001,58.0,0.9714783577301022,0.0
Ventral medial nucleus of the thalamus,63.10571575200003,59.0,0.9680239326085621,0.0
Ventral tegmental area,65.25137314110002,60.0,0.9731074836988652,0.0
Ventrolateral preoptic nucleus,57.819143786000005,61.0,0.9699697722302288,0.0
Ventromedial hypothalamic nucleus,54.2955539112,3.0,0.9587795365138136,0.4021948181853724
Visceral area,62.57091751449999,62.0,0.9729057970245094,0.0
Zona incerta,60.78624478079999,63.0,0.9712583566710435,0.0
posteromedial visual area,57.5116957554,64.0,0.9672783299604567,0.0
