Region,centrality,partition,pc,wmdz
Periventricular hypothalamic nucleus posterior part,34.60288578830001,2.0,0.7407063534768863,-0.4820044315059089
Periventricular zone,37.919591347830014,6.0,0.7680268092562258,-0.3103801746927621
Piriform area,35.02467491454141,4.0,0.7988466667062698,0.04994434878863662
Piriform-amygdalar area,19.045533617060002,6.0,0.6907895222566576,-2.101040216962879
Pons,28.760710761,6.0,0.6417274884264283,0.3839359937345795
Pons motor related,14.796025640159998,1.0,0.4738027571702723,-0.9203066207742046
Posterior amygdalar nucleus,35.23947075538002,7.0,0.7867808284670879,-1.442658748312594
Posterior complex of the thalamus,40.541860921190015,1.0,0.763311350795499,0.9927446975295763
Posterior hypothalamic nucleus,38.348661633,3.0,0.782199880383423,-1.267746837691536
Postsubiculum,17.5959964859,1.0,0.6658110266162208,-1.827220876367825
Precommissural nucleus,30.42409707049046,6.0,0.5792397837200411,1.306100358018723
Prelimbic area,28.147711664800003,2.0,0.7746833493788703,0.6828501316006225
Presubiculum,25.53701386876,1.0,0.6611375957215606,0.3452113484548203
Primary auditory area,34.00117831221999,8.0,0.6582584834939325,0.6077959185123565
Primary motor area,32.82056072340001,8.0,0.6354650640018866,0.9137566619967509
Primary somatosensory area lower limb,30.98038230036001,5.0,0.7488082848035635,0.8154973814120796
Primary somatosensory area mouth,36.870881614000005,8.0,0.6846914067695016,0.1603563255179002
Primary somatosensory area trunk,33.678955264149,5.0,0.7613312861737076,-0.8861785599971238
Primary somatosensory area upper limb,30.96651266715001,5.0,0.7194466411047615,0.4972043474396003
Primary visual area,39.37549299599999,8.0,0.7449682347173292,0.03036740834746927
Reticular nucleus of the thalamus,41.47431424166001,1.0,0.7707435162407817,0.2556392089616965
Retrochiasmatic area,17.7521896692,6.0,0.5248094632880573,-1.10698998190249
Retrosplenial area dorsal part,18.479655917800002,1.0,0.7345585208944099,-2.751578622084907
Retrosplenial area ventral part,23.861856483990003,6.0,0.6874059267543567,-1.237823630858534
Secondary motor area,25.684115822000003,8.0,0.6527460693074025,-0.03307284657669561
Subiculum,23.24050879156999,1.0,0.6364628904161689,0.2242497204480826
Subparaventricular zone,40.24373230664501,3.0,0.8244516354859804,0.858680353747478
Substantia innominata,37.25024945268999,6.0,0.7478499654046113,0.2971644597447143
Substantia nigra compact part,37.67315146184,5.0,0.7378193544033445,-0.06988547744253205
Substantia nigra reticular part,25.14623397679,1.0,0.6249268593788756,0.838386125511097
Subthalamic nucleus,24.2397769111,6.0,0.5959705264531413,-0.1768381561729779
Superior colliculus motor related,37.57504867280001,5.0,0.7285796216979858,0.03850433386252972
Superior colliculus sensory related,33.270113449229996,5.0,0.7483555362687532,1.254181379929007
Supplemental somatosensory area,14.844781413049999,8.0,0.4930508036640492,-1.708378423139486
Suprachiasmatic nucleus,15.771128503819998,6.0,0.6370741818769021,-2.220084451024872
Taenia tecta,32.177434252199994,2.0,0.8326636240729107,-0.5792613183059381
Temporal association areas,31.592330917239998,8.0,0.6338706771345736,1.162674182271743
Tuberal nucleus,19.221347685521405,6.0,0.4691870087069139,-0.5462070283573974
Ventral anterior-lateral complex of the thalamus,32.991090546879995,4.0,0.802489222200578,1.18238106474894
Ventral auditory area,22.21419328199,8.0,0.622849617249682,-0.8375871309060597
Ventral medial nucleus of the thalamus,30.352375614699987,6.0,0.609659902315032,0.7083185528162556
Ventral tegmental area,21.702272298409994,1.0,0.6780583752850142,-1.019646344430801
Ventrolateral preoptic nucleus,29.889307004050004,6.0,0.6689857358606444,0.2745134618927861
Ventromedial hypothalamic nucleus,37.65599638069998,6.0,0.772407774609325,-0.2068999390553016
Visceral area,14.386243609600005,8.0,0.5301892129576251,-2.225558183890131
Zona incerta,25.373345857600004,6.0,0.568177705924624,0.3522262699484675
posteromedial visual area,31.702072276900005,8.0,0.6950196127411106,0.8020276405696927
