Region,centrality,partition,pc,wmdz
Agranular insular area,41.223618201299985,1.0,0.7466884233499396,0.2634630091042018
Agranular insular area posterior part,12.975490889300001,2.0,0.6572102958611039,-2.680449513686525
Agranular insular area ventral part,38.573895017699996,1.0,0.7810694924751874,-0.8780934787687331
Anterior amygdalar area,40.42865112069999,3.0,0.8015635110584948,0.5062203972996097
Anterior cingulate area dorsal part,20.683170236030005,2.0,0.7212038507431584,0.5086186317642301
Anterior cingulate area ventral part,18.283826930140005,2.0,0.684266333148842,0.1373473055306953
Anterior hypothalamic nucleus,31.888243523099998,4.0,0.7792255376721707,-0.2601537228059053
Anterodorsal nucleus,40.9127650647,5.0,0.7192492297698025,-1.477203147614472
Anterolateral visual area,29.224283624500003,1.0,0.5588109247132356,1.128044860347112
Anteroventral nucleus of thalamus,41.7673301845,1.0,0.7580327878107664,0.2416792264410428
Anteroventral periventricular nucleus,24.760469779210002,6.0,0.5170109115266805,0.4757400782785871
Anteroventral preoptic nucleus,25.96464682406499,1.0,0.5563650734822533,0.6222938014325331
Basolateral amygdalar nucleus,33.78378565751,4.0,0.7771778862949715,0.9627584088036376
Bed nuclei of the stria terminalis,26.2907319827,1.0,0.7209642625446417,-1.45364775425486
Caudoputamen,14.025708012499997,2.0,0.6630964581049775,-0.7710146303977686
Central amygdalar nucleus,36.865494082709986,6.0,0.7010516004520542,0.6700209754118319
Central lateral nucleus of the thalamus,40.090483778060005,1.0,0.7438553835037898,0.1374154294747516
Central medial nucleus of the thalamus,40.2017198654,3.0,0.7646447549082673,0.6028934342921428
Claustrum,34.64161913588,6.0,0.647739934291947,1.156341815061149
Cortical amygdalar area,28.999619270499988,2.0,0.7347902069843792,0.8754832139622375
Cortical amygdalar area posterior part,27.598334451200007,7.0,0.7146113349918823,-0.8916786471238196
Culmen,27.716502084970006,1.0,0.6534146639257875,-0.2173610513719462
Dentate gyrus,37.43561009971001,1.0,0.6641476545780557,1.25987638524816
Diagonal band nucleus,30.742607721600013,4.0,0.779722383268916,0.01361491149858654
Dorsal auditory area,19.1433022821,1.0,0.7007251305350088,-1.973173284495769
Dorsal part of the lateral geniculate complex,36.36471692389999,7.0,0.5891729382308601,0.06199015099998417
Dorsal peduncular area,21.082710107089998,7.0,0.6574785077103813,-1.701822543346796
Dorsomedial nucleus of the hypothalamus,38.135423511700004,4.0,0.7805182085364073,-0.676789718851278
Ectorhinal area,32.9667100752,7.0,0.628143177241319,0.8453507662215785
Endopiriform nucleus,32.727691873800005,2.0,0.6737288812290154,-0.2553775293279369
Entorhinal area lateral part,30.124602296600006,7.0,0.5881425473572577,1.051705931689775
Entorhinal area medial part,35.06515680255001,7.0,0.669419719203227,0.8964101618640946
Field CA1,35.81413731036002,1.0,0.7907671670639396,-1.028141708096395
Field CA2,38.382981223510015,4.0,0.8093522048148191,-0.9259997330088625
Field CA3,40.75604894840001,5.0,0.6864356241366416,0.3341386703850849
Frontal pole cerebral cortex,26.000987201800008,4.0,0.7334267357525495,-1.856296335694417
Fundus of striatum,22.022450405200008,2.0,0.6910971215283834,0.9220896292463835
Globus pallidus external segment,34.8660116134,6.0,0.7094415587304645,0.2159684586164023
Gustatory areas,34.34530090939999,7.0,0.6739208241315912,0.8302929332096278
Inferior colliculus,29.047166800699998,1.0,0.6334205450736768,0.06873906289522357
Infralimbic area,28.944647703180003,4.0,0.7710724760689807,0.02587338325558343
Intercalated amygdalar nucleus,26.44662204972001,2.0,0.6554055255043097,0.3796499262806655
Interpeduncular nucleus,16.777834911130473,1.0,0.5262044451626622,-1.020068788877334
Lateral amygdalar nucleus,31.374994089030007,4.0,0.7581867835710676,0.8140286737154246
Lateral dorsal nucleus of thalamus,36.63580224314999,1.0,0.6138204197567309,1.234183998404556
Lateral habenula,36.20753505083,3.0,0.746061389848728,0.4068125835615351
Lateral hypothalamic area,20.114808306510003,4.0,0.709962007243399,-1.772705573876903
Lateral posterior nucleus of the thalamus,31.751780933020008,1.0,0.5693621547249634,0.7162871726416978
Lateral preoptic area,36.30319733896,4.0,0.8119098189051271,0.7094505430407525
Lateral septal complex,34.84745656850001,1.0,0.7843425256694023,-0.6074897233858754
Lateral visual area,30.115391393290004,1.0,0.550625857426972,1.127391724680614
