Region,centrality,partition,pc,wmdz
Agranular insular area,44.6496733014,1.0,0.5102747525786344,0.8618289688213939
Agranular insular area posterior part,41.821918400600005,2.0,0.5548508761570695,0.7025621009128723
Agranular insular area ventral part,52.37067390600001,1.0,0.5512886991933609,1.36974132050575
Anterior amygdalar area,56.06321910729999,3.0,0.635327997118911,0.4598108632944761
Anterior cingulate area dorsal part,49.48415079491999,3.0,0.5433684894074431,0.2569179016778024
Anterior cingulate area ventral part,44.33700731644999,1.0,0.4831282859645168,0.6206021308232335
Anterior hypothalamic nucleus,40.832822208600014,3.0,0.5167356289461229,0.7796452511753901
Anterodorsal nucleus,39.37616944506001,2.0,0.516857369054581,0.5685631119875992
Anterolateral visual area,12.895431949730002,3.0,0.3303562560071783,-2.009864918559115
Anteroventral nucleus of thalamus,39.805376932499996,2.0,0.4893837057940368,0.9443668228970803
Anteroventral periventricular nucleus,46.7771094918,1.0,0.5423977204427735,0.5851900577564586
Anteroventral preoptic nucleus,47.7993259126,2.0,0.5956004694435788,0.03641323272438614
Basolateral amygdalar nucleus,12.090777740179998,3.0,0.4393942330827798,-2.410129665920547
Bed nuclei of the stria terminalis,53.22376573080001,1.0,0.6523163753146779,-1.821937745581818
Caudoputamen,43.69110842997001,2.0,0.5213088660131646,1.229874747179644
Central amygdalar nucleus,35.90711104941,3.0,0.4993399318970242,0.7924328475460996
Central lateral nucleus of the thalamus,45.79294427517999,2.0,0.5768538681724334,0.9477951574402671
Central medial nucleus of the thalamus,45.0917395502,1.0,0.565103429718997,-1.635223554943712
Claustrum,55.26452028369998,1.0,0.6250364162222646,0.1318143594331809
Cortical amygdalar area,46.27193745728001,3.0,0.616186724237463,0.8086290551488927
Cortical amygdalar area posterior part,43.958921360100014,3.0,0.5979420772636027,0.8341303755253606
Culmen,40.506738183200014,3.0,0.5276755619529188,0.1148505259190487
Dentate gyrus,27.259443242500005,2.0,0.4814808116511257,-0.7482944697819489
Diagonal band nucleus,53.43635116950999,1.0,0.6244281182535381,-0.3220661113496059
Dorsal auditory area,30.36099932298001,2.0,0.5201676039462075,-0.7335156156078879
Dorsal part of the lateral geniculate complex,25.94987301039999,2.0,0.1584417203647033,0.479643458555789
