Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,3.8702231979999997,3.8702231979999997,1.0,0.0,0.0,-0.9699047979345798,0.0
Agranular insular area posterior part,2.922007062,2.922007062,1.0,0.0,0.0,-1.1167148199969548,0.0
Agranular insular area ventral part,0.993180706,0.993180706,2.0,0.0,0.0,-0.1735022316649105,0.0
Anterior amygdalar area,1.956138679,1.956138679,3.0,0.0,0.0,-1.1218484743149315,0.0
Anterior cingulate area dorsal part,2.908984774,2.908984774,3.0,0.0,0.0,-0.7645607698634522,0.0
Anterior cingulate area ventral part,3.906081238,3.906081238,1.0,0.0,0.0,-0.964352983908591,0.0
Anterior hypothalamic nucleus,7.8793456609999994,7.8793456609999994,3.0,0.0,0.0,1.099170257560918,0.0
Anterodorsal nucleus,17.507396142999998,17.507396142999998,1.0,0.0,0.0,1.1415058656399892,0.0
Anterolateral visual area,18.549152549,18.549152549,1.0,0.0,0.0,1.3027985025630968,0.0
Anteroventral nucleus of thalamus,12.650261439,12.650261439,1.0,0.4734620219794654,0.0,-0.3642029931682368,0.0
Anteroventral periventricular nucleus,9.786951701000001,9.786951701000001,3.0,0.41631191981501625,0.0,0.7302499283425652,0.0
Anteroventral preoptic nucleus,5.849693090999999,5.849693090999999,1.0,0.0,0.0,-0.6634282388147957,0.0
Basolateral amygdalar nucleus,0.9863246790000001,0.9863246790000001,2.0,0.0,0.0,-0.17932431038621435,0.0
Bed nuclei of the stria terminalis,5.791199248,5.791199248,3.0,0.0,0.0,0.3161801793370459,0.0
Caudoputamen,12.667669862,12.667669862,1.0,0.35690870305586375,0.0,-0.06385954625992485,0.0
Central amygdalar nucleus,1.944235333,1.944235333,2.0,0.0,0.0,0.6341251167475713,0.0
Central lateral nucleus of the thalamus,11.697242988000001,11.697242988000001,1.0,0.48684665924555204,0.0,-0.5167235371388246,0.0
Central medial nucleus of the thalamus,7.848009942,7.848009942,3.0,0.0,0.0,1.0874203357555008,0.0
Claustrum,0.0,0.0,2.0,0.0,0.0,-1.0169026813440398,0.0
Cortical amygdalar area,3.8502067269999998,3.8502067269999998,3.0,0.0,0.0,-0.4116317577896733,0.0
Cortical amygdalar area posterior part,3.888951545,3.888951545,2.0,0.0,0.0,2.2855612731191925,0.0
Culmen,0.0,0.0,2.0,0.0,0.0,-1.0169026813440398,0.0
Dentate gyrus,19.555557731999997,19.555557731999997,1.0,0.0,0.0,1.4586177947164614,0.0
Diagonal band nucleus,13.640373595,13.640373595,1.0,0.0,0.0,0.5427840721230923,0.0
Dorsal auditory area,4.871464592,4.871464592,1.0,0.0,0.0,-0.81488500280329,0.0
Dorsal part of the lateral geniculate complex,14.568832679,14.568832679,1.0,0.47928274300857365,0.0,-0.2117186745192586,0.0
Dorsal peduncular area,14.670836291,14.670836291,1.0,0.0,0.0,0.7023281311098872,0.0
Dorsomedial nucleus of the hypothalamus,7.886638268,7.886638268,3.0,0.0,0.0,1.1019047587864244,0.0
Ectorhinal area,2.9323105409999997,2.9323105409999997,1.0,0.0,0.0,-1.1151195571429706,0.0
