Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,3.8702231979999997,3.8702231979999997,1.0,0.3753636574139647,0.0,-0.00321310035900929,0.0
Agranular insular area posterior part,2.922007062,2.922007062,2.0,0.44236682197067045,0.6225231255329997,-0.9729102358362912,-0.5548003619858406
Agranular insular area ventral part,0.993180706,0.993180706,2.0,0.0,0.0,-0.9729102358362912,0.5090008574641554
Anterior amygdalar area,1.956138679,1.956138679,2.0,0.49992694365863755,0.0,-0.9729102358362912,0.5090008574641554
Anterior cingulate area dorsal part,2.908984774,2.908984774,1.0,0.6665875874000347,0.0,-0.9401935243522356,0.0
Anterior cingulate area ventral part,3.906081238,3.906081238,1.0,0.6241621051466681,0.0,-0.9401935243522356,0.0
Anterior hypothalamic nucleus,7.8793456609999994,7.8793456609999994,2.0,0.7183599505410054,0.0,1.4826249855928966,0.5090008574641554
Anterodorsal nucleus,17.507396142999998,17.507396142999998,4.0,0.7217334437799854,0.4998833317507806,1.0388430462289187,0.0
Anterolateral visual area,18.549152549,18.549152549,7.0,0.747979240282739,0.49993323206508555,1.2328586891294773,0.544569811838128
Anteroventral nucleus of thalamus,12.650261439,12.650261439,6.0,0.7467871004898534,0.4999767337931047,0.0,-0.004914726795938884
Anteroventral periventricular nucleus,9.786951701000001,9.786951701000001,5.0,0.8191509567490433,0.0,1.3730369128005697,0.6205458790981967
Anteroventral preoptic nucleus,5.849693090999999,5.849693090999999,5.0,0.6643066036305629,0.6237400384906954,0.08118392214604071,-0.3462305360012789
Basolateral amygdalar nucleus,0.9863246790000001,0.9863246790000001,5.0,0.0,0.6435455346934646,0.12602311345205516,-3.2648703180989957
Bed nuclei of the stria terminalis,5.791199248,5.791199248,2.0,0.7211540171603893,0.0,0.628786635174848,0.5090008574641554
Caudoputamen,12.667669862,12.667669862,3.0,0.723175895777813,0.0,-0.8164503501095192,0.0
Central amygdalar nucleus,1.944235333,1.944235333,2.0,0.49999511079539016,0.6666272956945909,-0.16929388604834608,0.5090008574641554
Central lateral nucleus of the thalamus,11.697242988000001,11.697242988000001,2.0,0.7510650991550358,0.49999823236770913,-0.9729102358362912,0.5090008574641554
Central medial nucleus of the thalamus,7.848009942,7.848009942,1.0,0.5617029846756845,0.0,0.014201258335343747,0.0
Claustrum,0.0,0.0,1.0,0.0,0.6247044835041866,-0.9401935243522356,0.0
Cortical amygdalar area,3.8502067269999998,3.8502067269999998,2.0,0.6270524697109519,0.4998927362178115,-0.1541114476858597,0.5090008574641554
Cortical amygdalar area posterior part,3.888951545,3.888951545,2.0,0.6252140371472468,0.6996078414163776,-0.17668810027806595,-2.6557318134112857
Culmen,0.0,0.0,7.0,0.0,0.2453169794499347,-1.0627920285811845,0.544569811838128
Dentate gyrus,19.555557731999997,19.555557731999997,4.0,0.7695972148737876,0.4999890100151346,1.5687536426951902,0.0
Diagonal band nucleus,13.640373595,13.640373595,4.0,0.6830545369001082,0.44197340598198975,-0.378912210456853,0.0
Dorsal auditory area,4.871464592,4.871464592,7.0,0.7999431507060613,0.6210804550069978,-0.6818702090060634,0.544569811838128
Dorsal part of the lateral geniculate complex,14.568832679,14.568832679,7.0,0.8176667448532611,0.0,0.07060590203822843,0.544569811838128
Dorsal peduncular area,14.670836291,14.670836291,2.0,0.7096429129279378,0.0,0.6543057436226318,-1.609823416626361
Dorsomedial nucleus of the hypothalamus,7.886638268,7.886638268,5.0,0.6547458068943877,0.0,0.09760753908852196,0.6205458790981967
Ectorhinal area,2.9323105409999997,2.9323105409999997,4.0,0.6666649535181399,0.0,-0.3708419468666619,0.0
Endopiriform nucleus,0.9863246790000001,0.9863246790000001,5.0,0.0,0.6952274778610177,0.12602311345205516,-1.3574167988416204
Entorhinal area lateral part,0.0,0.0,4.0,0.0,0.4998665965636998,-0.8495920515559443,0.0
Entorhinal area medial part,0.975157522,0.975157522,4.0,0.0,0.6665852887266417,-0.8495920515559443,0.0
Field CA1,16.696906135,16.696906135,4.0,0.7748022940051168,0.49995517292513425,1.0919983584426762,0.0
Field CA2,21.438406498,21.438406498,4.0,0.7688172709596783,0.49999779480862805,1.5641431207631635,0.0
Field CA3,17.650937179,17.650937179,4.0,0.783518799916073,0.49998587835204344,1.0955437000501271,0.0
Frontal pole cerebral cortex,15.599082614999999,15.599082614999999,1.0,0.7412042201916886,0.0,-0.002377787762715718,0.0
Fundus of striatum,4.870410242,4.870410242,3.0,0.7211371698448892,0.0,1.2415010050285578,0.0
Globus pallidus external segment,6.84786529,6.84786529,3.0,0.7343338251345568,0.0,1.2078500452999996,0.0
Gustatory areas,0.972534001,0.972534001,7.0,0.0,0.0,-0.6829249865401685,0.544569811838128
Inferior colliculus,0.989677195,0.989677195,5.0,0.0,0.0,-1.1530965832243885,-0.34207991584495656
Infralimbic area,9.845088664000002,9.845088664000002,1.0,0.5392544541486083,0.49997727729073016,-0.9401935243522356,0.0
Intercalated amygdalar nucleus,2.902568661,2.902568661,2.0,0.445770156442604,0.7202494717681148,0.6269282495098791,0.5090008574641554
Interpeduncular nucleus,13.693755125000001,13.693755125000001,2.0,0.6734188267720577,0.0,-0.1482419502381832,0.5090008574641554
Lateral amygdalar nucleus,2.906843265,2.906843265,5.0,0.6666466615676921,0.5037999375336644,0.0997595953758734,0.6205458790981967
Lateral dorsal nucleus of thalamus,14.619083872,14.619083872,7.0,0.7735303429213034,0.0,0.4583365606413273,0.544569811838128
Lateral habenula,0.0,0.0,5.0,0.0,0.4998446001362946,-1.1530965832243885,0.6205458790981967
