Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Cortical amygdalar area posterior part,17.651025626999996,-56.022707158300015,3.0,0.05768993126839839,0.9141455238191173,0.941218795128572
Culmen,11.197529260599998,-52.14057500910999,3.0,0.2838367857270687,0.9338513056913635,-1.145151609288644
Dentate gyrus,67.16410616450001,-15.6819423876,14.0,0.9473509017427533,0.0,0.0
Diagonal band nucleus,58.30201043649997,-18.344545605400004,2.0,0.9267403339288378,0.006643902431888837,0.9172299930418968
Dorsal auditory area,52.2253458442,-20.312056716959997,2.0,0.9117172825117382,0.01517040524661983,1.177947778280767
Dorsal part of the lateral geniculate complex,66.01090886985,-16.6570936387,15.0,0.9472995359901768,0.0,0.0
Dorsal peduncular area,61.40665182227003,-16.2288788719,16.0,0.9314621735942303,0.0,0.0
Dorsomedial nucleus of the hypothalamus,61.45329764070001,-13.6157144685,17.0,0.9537151622979292,0.0891510054698409,0.0
Ectorhinal area,45.448682294799994,-15.295269886839998,1.0,0.9193433866398805,0.2909020556046022,-0.977641809838407
Endopiriform nucleus,17.9434921438,-59.04645036210002,3.0,0.007652363961344499,0.9288018110933454,1.081957874096279
Entorhinal area lateral part,17.791467278000002,-48.5513233535,3.0,0.1210767301780052,0.9207482558834608,0.8171925960270754
Entorhinal area medial part,20.123531353799997,-46.97708478088998,3.0,0.05598772711550037,0.8932203779560914,1.241679029081756
Field CA1,67.4077237046,-15.044483433000002,18.0,0.9508108329474356,0.0,0.0
Field CA2,67.49278713950001,-15.610550797,19.0,0.9487623970116495,0.0,0.0
Field CA3,67.38511868690003,-15.242363301199997,20.0,0.9498416365284951,0.0,0.0
Frontal pole cerebral cortex,65.96671993899999,-17.0650813748,21.0,0.941909468549636,0.0,0.0
Fundus of striatum,34.148696236570004,-15.884250370649998,3.0,0.7725352646112023,0.5975033897916797,0.07572196020702662
Globus pallidus external segment,55.789022915000025,-15.553845782199996,4.0,0.9483605879326011,0.09726908298637316,0.7164814517548298
Gustatory areas,17.0449723658,-32.312465835939996,3.0,0.564977396363948,0.8767367316791712,-0.6107508041003866
Inferior colliculus,21.959489689500003,-22.728618521789997,3.0,0.5505672521592437,0.8426339746850771,0.2469204114686764
Infralimbic area,58.75501113425999,-16.790995561720003,2.0,0.9317164960632766,0.02071378003747859,0.2613181303344872
Intercalated amygdalar nucleus,19.276306013799996,-53.105235280509994,3.0,0.03455139058226087,0.9034092769105385,1.196135578052071
Interpeduncular nucleus,65.3508782194,-14.052507181,22.0,0.9510106522348268,0.01010072182486987,0.0
Lateral amygdalar nucleus,17.0360694238,-53.04437600350001,3.0,0.1286442393271481,0.9123956480315828,0.6605090899944691
Lateral dorsal nucleus of thalamus,66.2907655543,-13.810357079399996,23.0,0.9545356331722381,0.002749648605546495,0.0
Lateral habenula,40.2666998752,-17.687821387850004,4.0,0.9243486417694396,0.2906668883104061,-0.1206482516615949
Lateral hypothalamic area,59.013348047100045,-13.558103136830002,24.0,0.9501856822655596,0.116650498674076,0.0
Lateral posterior nucleus of the thalamus,66.2148040385,-14.715310190799995,25.0,0.9492102024796676,0.0,0.0
Lateral preoptic area,59.03731753570002,-11.792184822100001,26.0,0.952291237901107,0.1129783472947978,0.0
Lateral septal complex,43.99771329730002,-11.817060405440001,3.0,0.8988213272022897,0.4406161572729616,-0.578564483606828
Lateral visual area,24.52252704609999,-19.359760219510004,3.0,0.7996293028820912,0.7653061328863866,-0.8676818895383691
Magnocellular nucleus,38.90219903769999,-16.2945869325,4.0,0.9123953044185029,0.4400023995997345,0.7716875170429798
Medial amygdalar nucleus,43.818355521299985,-12.443989121179998,3.0,0.8984263950134453,0.4306171033875095,-0.7155192970679876
Medial geniculate complex,42.173446717143,-12.1791662455,1.0,0.9227493205139803,0.412248569284838,1.151554630157771
Medial habenula,10.982480102000002,-57.83134451687998,3.0,0.1452326992510677,0.9493793959528618,-0.520674551085688
Medial preoptic area,63.27446729650002,-17.7521805514,27.0,0.9320470641788705,0.0,0.0
Medial preoptic nucleus,56.63113922239999,-19.2755925667,2.0,0.9296653234369406,0.00840492986245589,0.05972755583269522
Medial pretectal area,13.118184614829998,-67.42769587869999,3.0,0.0009549333149783124,0.9541824389610034,0.2076841685048733
Medial septal nucleus,56.695628820699994,-11.316801104200001,28.0,0.9498623681251188,0.1758468903593592,0.0
Median preoptic nucleus,24.06305957894,-27.537700180499993,2.0,0.7668161348113796,0.516712092405796,-1.640724734534245
Mediodorsal nucleus of thalamus,65.22662304973997,-13.624697844700002,29.0,0.9578112590366683,0.03527397004316624,0.0
Midbrain reticular nucleus,37.87519374670002,-13.760296720799998,3.0,0.8355792960773258,0.5385410150303489,-0.1760303248932946
Nucleus accumbens,39.329929179000004,-11.497850371599997,1.0,0.9051945652817058,0.5104156236835042,-1.029118165258212
Olfactory tubercle,55.85680900467998,-10.908876176000001,30.0,0.9481168150059118,0.2344051609194377,0.0
Olivary pretectal nucleus,10.273042957,-58.56111954893002,3.0,0.217540650461002,0.9516177609955669,-1.046762634315559
Orbital area lateral part,67.2289894125,-14.108716618430003,31.0,0.955993838052083,0.006602951482771346,0.0
Orbital area medial part,57.116451919620026,-19.186034081099997,2.0,0.923422273765494,0.0,1.105138042152727
Orbital area ventrolateral part,66.68882493260001,-15.9996879487,32.0,0.9509713807072143,0.0,0.0
Parasubiculum,27.371852994499996,-22.84551739859999,3.0,0.5607811006858852,0.7249257237306683,0.6310907014124157
Parasubthalamic nucleus,15.52868305945,-66.5998673189,3.0,0.0,0.9416671817937896,0.7960625886334033
Parataenial nucleus,62.23518197129998,-16.022270631959998,33.0,0.9482408647632096,0.002757179961378586,0.0
Paraventricular hypothalamic nucleus,52.578996919290006,-13.9659113193,1.0,0.9366583012224319,0.1755985681192475,0.3146249694543163
Paraventricular nucleus of the thalamus,23.701068724469998,-27.971548840400004,3.0,0.6489604161251403,0.8215618057970531,-0.3563071636586311
Pedunculopontine nucleus,25.62718093395,-26.694005908239987,3.0,0.4542242123392957,0.7723985800228756,0.831569683048935
Periaqueductal gray,23.457069810400007,-33.98590379890001,3.0,0.3569868440332544,0.8260861899667238,0.8063540739885482
Perirhinal area,49.24842111619999,-13.426217438150001,1.0,0.9340864308773373,0.2455727914735115,1.23070167780991
Periventricular hypothalamic nucleus posterior part,41.87345296539,-20.223377876239997,2.0,0.9112089331126791,0.1801778899900327,-2.005222905569884
Periventricular zone,32.543808423250006,-17.9598250639,3.0,0.8039076653935674,0.6650281628917348,-0.5673416112084216
Piriform area,16.110507564200002,-39.79694481937002,3.0,0.3898175748726803,0.9156448168318468,-0.0842579071956008
Piriform-amygdalar area,59.082032715399976,-13.41594657805,34.0,0.9504934941711276,0.1190117721019404,0.0
Pons,20.80786869171,-23.295375957940003,3.0,0.5771921343230055,0.8520458803345622,0.07030926790217132
Pons motor related,22.484827915199993,-30.161996625399997,3.0,0.3797732724870349,0.8547146162522489,0.7929584565141153
Posterior amygdalar nucleus,25.318141343840004,-20.252342221290004,4.0,0.8801270330284261,0.517047743561533,-2.205497947774753
Posterior complex of the thalamus,64.88736013074998,-13.3613474815,35.0,0.9541786831582985,0.01680655536011089,0.0
Posterior hypothalamic nucleus,53.04226953199999,-15.669891055100004,4.0,0.9453172778944635,0.1475386522198497,0.8785029931529046
Postsubiculum,12.136247044530002,-34.99063033820002,3.0,0.6110189477299499,0.7767401826496896,-2.542805545632546
Precommissural nucleus,14.6654516388,-64.9311301803,3.0,0.009576771334440681,0.952501430193304,0.3251019930972056
Prelimbic area,57.251789987189,-12.0250512189,1.0,0.9522883208679703,0.1232986241821453,-0.7214122493629556
Presubiculum,53.7441773654,-10.675925042490002,36.0,0.9427750266162246,0.2861822042231562,0.0
Primary auditory area,32.1984217252,-23.776001370219987,2.0,0.8564721779916953,0.273946206715454,-1.084623049311562
Primary motor area,60.77828759760002,-16.3673255133,37.0,0.929688009661387,0.002553167819848712,0.0
Primary somatosensory area lower limb,64.83668959069998,-17.6350536152,38.0,0.9385917549133077,0.0,0.0
Primary somatosensory area mouth,54.25524158819999,-18.17739747138,2.0,0.9206933162610889,0.07882480270318848,0.4345115595230191
Primary somatosensory area trunk,66.8890630481,-16.2139021436,39.0,0.9448773425752462,0.0,0.0
Primary somatosensory area upper limb,63.95477839259999,-17.934190985499995,40.0,0.9354716939893554,0.0,0.0
Primary visual area,64.28892403361996,-15.2087473927,41.0,0.9421672636914273,0.00121017137765933,0.0
Reticular nucleus of the thalamus,61.26874931209999,-16.0537552624,42.0,0.9471707155053348,0.002543683784649864,0.0
Retrochiasmatic area,41.807997083900005,-22.120806533100005,2.0,0.8850651126566724,0.1059099110959751,0.4393762402406547
Retrosplenial area dorsal part,65.73612368492999,-16.0087250725,43.0,0.9420054962808144,0.0,0.0
Retrosplenial area ventral part,11.07881893914,-44.45034879262999,3.0,0.46413996134499,0.8865561175757937,-1.884014090249019
Secondary motor area,66.29631760989999,-15.522272577799997,44.0,0.9454341787643397,0.0,0.0
Subiculum,38.640690711800005,-20.853082234299993,2.0,0.8815845266973669,0.3401869793850407,-1.287743560907787
Subparaventricular zone,35.101793123050015,-23.537021396700002,2.0,0.8538750023395186,0.3439451115867291,-0.4774779360232619
Substantia innominata,40.12239202737,-12.9836514911,3.0,0.8651759854407048,0.4967198152745985,-0.3973396325195233
Substantia nigra compact part,33.29433161285999,-15.932556974599999,3.0,0.750222759663667,0.6050866856747098,0.2173470297365605
Substantia nigra reticular part,41.693173459314025,-14.5687735981,4.0,0.8981756439818236,0.4545990943572528,0.04128673148558303
Subthalamic nucleus,61.893773175639986,-16.265400494799998,45.0,0.9469592754510043,0.0,0.0
Superior colliculus motor related,25.925226091488998,-26.34802393159,3.0,0.5002265783929727,0.7641809625178327,0.6536297096541077
Superior colliculus sensory related,19.1616098883,-50.86317092220001,3.0,0.0937821610047973,0.8981481548270001,1.003272187310279
Supplemental somatosensory area,62.46933766749,-17.9931991346,46.0,0.929701772700535,0.0,0.0
Suprachiasmatic nucleus,12.712766611249997,-32.62515794090001,3.0,0.6852043756561486,0.7552450042712382,-2.54800758767495
Taenia tecta,65.452920175,-14.784123458200002,47.0,0.9470801688561115,0.002120833539646871,0.0
Temporal association areas,60.24411942579399,-16.815275742900003,48.0,0.9267977064914986,0.003025243734865568,0.0
Tuberal nucleus,19.32802330351,-46.11051164717998,3.0,0.1522005567259307,0.8851836834389625,0.832931977450569
Ventral anterior-lateral complex of the thalamus,66.9756899642,-14.334261711500002,49.0,0.9565824691731497,0.01528257421758605,0.0
Ventral auditory area,59.21106708200001,-19.0116429511,2.0,0.9292587920680802,0.0,0.8557832792878909
Ventral medial nucleus of the thalamus,63.10571575200003,-14.087895429400001,50.0,0.9549407008571852,0.05804640300625108,0.0
Ventral tegmental area,65.25137314110002,-15.164607051800001,51.0,0.9540108971248371,0.0160524587885329,0.0
Ventrolateral preoptic nucleus,57.819143786000005,-19.0247484003,2.0,0.9329445986611301,0.007067175313845375,-0.1442893453286061
Ventromedial hypothalamic nucleus,54.2955539112,-14.5224646864,4.0,0.9472736215439657,0.1589942180770649,0.7630523266863338
Visceral area,62.57091751449999,-16.177958153069998,52.0,0.9340132791661652,0.0,0.0
Zona incerta,60.78624478079999,-16.563903634299997,53.0,0.9446763070226036,0.00239873344586039,0.0
posteromedial visual area,57.5116957554,-17.542551376320002,2.0,0.9274436090133578,0.02874458227508481,0.5305335621192983
