Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Agranular insular area,49.6291897533,-11.069337885748999,1.0,0.9403874039819045,0.3183179068640559,-0.8574277023866171
Agranular insular area posterior part,51.29833513249997,-17.956248369100003,2.0,0.9179809017324146,0.1359894952652031,-0.247995857386135
Agranular insular area ventral part,21.945777898899998,-21.5094592279,3.0,0.7351351098279686,0.8157979206317713,-0.5895234091845588
Anterior amygdalar area,39.22224545795,-15.328340389999997,4.0,0.8941134735263864,0.4811554014571459,0.3690410116619753
Anterior cingulate area dorsal part,58.59713866640002,-11.556340485100002,5.0,0.9520077485215099,0.1722614371444543,0.0
Anterior cingulate area ventral part,42.103826683200005,-13.271345920415001,1.0,0.9211075883694094,0.3886008819785375,0.8887186494242618
Anterior hypothalamic nucleus,61.17045882499998,-13.235892599020003,6.0,0.9539992229266888,0.09760687556762526,0.0
Anterodorsal nucleus,64.02391049140002,-17.50364586813,7.0,0.9343635900733935,0.0,0.0
Anterolateral visual area,63.614744101209986,-15.5336960431,8.0,0.9390704319129878,0.0,0.0
Anteroventral nucleus of thalamus,62.880124316899995,-17.5699072511,9.0,0.9408969310436727,0.0,0.0
Anteroventral periventricular nucleus,59.33900735551299,-16.157233304435,4.0,0.9490359908291519,0.007907480995993588,0.0190181683951863
Anteroventral preoptic nucleus,54.44541627119998,-19.936778381668,2.0,0.9179707271280054,0.0004605397675462308,1.106511248248036
Basolateral amygdalar nucleus,18.1744808177,-59.734427146099996,3.0,0.0,0.9252740697282986,1.165779371335041
Bed nuclei of the stria terminalis,58.04723552279001,-11.7902613761,10.0,0.9509485330476413,0.1781354732241495,0.0
Caudoputamen,67.48165677057,-14.676433205609998,11.0,0.9550542995598922,0.004387456291896741,0.0
Central amygdalar nucleus,20.723304364700002,-45.22466458114897,3.0,0.07927966538951348,0.8801711097812949,1.233925747066741
Central lateral nucleus of the thalamus,62.504329352800006,-17.4598411308,12.0,0.9414230698996667,0.0,0.0
Central medial nucleus of the thalamus,58.83140563452001,-13.376844378,13.0,0.9501290823700628,0.122283523861166,0.0
Claustrum,15.613679205399999,-36.19032654090798,3.0,0.585683102080234,0.8641836436809947,-1.198619748490878
Cortical amygdalar area,46.594742738699985,-12.54644249704,4.0,0.9148089424802429,0.359290745130822,-1.232924000743468
