Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,14.926474856,14.926474856,1.0,0.7898805436680967,0.7985670319657101,-0.927326564978842,0.4082482904638631
Agranular insular area posterior part,27.672339819,27.672339819,2.0,0.7523059027877826,0.6847157462313755,0.06487675740878512,-0.3135079049026603
Agranular insular area ventral part,7.946040634999999,7.946040634999999,2.0,0.5751902858330618,0.0,-1.8558070319241713,0.967950793942275
Anterior amygdalar area,15.313660985,15.313660985,2.0,0.6655727271412784,0.5577993146454927,0.6791054505731375,0.967950793942275
Anterior cingulate area dorsal part,28.450223575000003,28.450223575000003,1.0,0.8167782352276297,0.7173656724553736,0.17559165138382324,0.4082482904638631
Anterior cingulate area ventral part,11.559239055,11.559239055,1.0,0.7938854318605013,0.4621065379780831,-1.317699543595017,0.4082482904638631
Anterior hypothalamic nucleus,36.554054022,36.554054022,2.0,0.8327893028176642,0.6353289449533008,1.3714955789962011,0.967950793942275
Anterodorsal nucleus,44.976230637,44.976230637,4.0,0.8047368150306153,0.7317228448031783,0.9942144282105635,-0.30736334350629985
Anterolateral visual area,44.416331879999994,44.416331879999994,7.0,0.8013143446134756,0.6636368199788081,0.9742671250300123,0.20088459407541068
Anteroventral nucleus of thalamus,47.25796553199999,47.25796553199999,6.0,0.8248698576922411,0.7493369211244685,1.2071338338842192,-0.6257438697404655
Anteroventral periventricular nucleus,36.75365465899999,36.75365465899999,5.0,0.8404899046890892,0.7784217617916431,1.8292975931837103,0.10266678444314055
Anteroventral preoptic nucleus,33.88868403899999,33.88868403899999,5.0,0.7665130275536813,0.7598722328295876,-0.174225944553124,-0.9181049953308618
Basolateral amygdalar nucleus,8.071252904,8.071252904,5.0,0.7126872058080427,0.8032581689498922,-1.0495300864597121,-2.433818362324529
Bed nuclei of the stria terminalis,29.268004476,29.268004476,2.0,0.8351189696810075,0.6395466031589875,0.44455336130759593,0.967950793942275
Caudoputamen,51.632375112000005,51.632375112000005,3.0,0.8247097522730247,0.7484918148556738,0.9250129172903178,0.7566408687960257
Central amygdalar nucleus,11.408853142,11.408853142,2.0,0.7972369680888338,0.7322160041754251,-1.1864566952054196,-0.18544547509548936
Central lateral nucleus of the thalamus,47.01687045200001,47.01687045200001,2.0,0.8317271092210026,0.7862822844330614,1.083374293978826,0.1776018211895973
Central medial nucleus of the thalamus,33.168598800999995,33.168598800999995,1.0,0.82485490615678,0.7157587735630191,0.31667444717087284,-2.4494897427831783
Claustrum,4.182240435000001,4.182240435000001,1.0,0.30165354654731225,0.6022482600977362,-2.122641782920627,-2.4494897427831783
Cortical amygdalar area,20.288890563000002,20.288890563000002,2.0,0.7440200657297088,0.62545962986467,1.11045483075496,0.967950793942275
Cortical amygdalar area posterior part,9.677760735,9.677760735,2.0,0.7399554731496611,0.7686926419658047,-0.8618418079807079,-2.0296967213679684
Culmen,3.437925707,3.437925707,7.0,0.7489778486103547,0.7840592029919731,-1.3479506182233576,0.24936203255837908
Dentate gyrus,49.81011813500001,49.81011813500001,4.0,0.8129387191505728,0.6460086769323894,1.0722448803990305,0.7902878095902532
Diagonal band nucleus,39.22043195699999,39.22043195699999,4.0,0.7774330292538907,0.7289071191852006,0.8650676951740955,-0.33381084206847356
Dorsal auditory area,29.548566430000005,29.548566430000005,7.0,0.7757291323356492,0.7626103739716813,0.4963534814551705,-0.24254147129340795
Dorsal part of the lateral geniculate complex,49.395754108999995,49.395754108999995,7.0,0.8294270897866161,0.7180045587861908,0.6539589107545214,0.6414906240280683
Dorsal peduncular area,42.45364067399999,42.45364067399999,2.0,0.784231643224554,0.6483715084307817,0.14242982357181133,-1.1377905968558981
Dorsomedial nucleus of the hypothalamus,37.476070049,37.476070049,5.0,0.8288129708822646,0.6341904185833696,0.5420093360014627,1.0510883342117903
Ectorhinal area,18.679343662,18.679343662,4.0,0.7470128979381352,0.6026200020895156,-0.7426936662658821,0.7902878095902532
Endopiriform nucleus,7.835351179000001,7.835351179000001,5.0,0.7215488639789638,0.8238939478086946,-1.0495300864597121,-2.9223324648383877
Entorhinal area lateral part,7.659851295999999,7.659851295999999,4.0,0.6667126651869644,0.784535426052905,-1.1169761082258207,0.7902878095902532
Entorhinal area medial part,9.511090170000001,9.511090170000001,4.0,0.8053518364516562,0.7797973851507495,-0.8352976804234822,-1.4314619951650265
Field CA1,52.561187721,52.561187721,4.0,0.8164685930533206,0.7163958295409679,1.0540388968834329,0.7902878095902532
Field CA2,53.592737637,53.592737637,4.0,0.8168495939705567,0.6994844178020097,1.0688418187918731,0.7902878095902532
Field CA3,53.391021583000004,53.391021583000004,4.0,0.8166756153402518,0.715206016582391,1.0615946408566619,0.7902878095902532
Frontal pole cerebral cortex,47.56550827899999,47.56550827899999,1.0,0.8133182824993856,0.775433239231106,0.7450236941304109,0.4082482904638631
Fundus of striatum,11.751371835999999,11.751371835999999,3.0,0.7994769431205246,0.7144800543006947,0.9009861464164892,0.7566408687960257
Globus pallidus external segment,29.065753534999995,29.065753534999995,3.0,0.7979056568443541,0.7364822583226748,0.8736226327375595,0.7566408687960257
Gustatory areas,6.125203173999999,6.125203173999999,7.0,0.7230468811040671,0.63645800698591,-1.017140111197502,0.6414906240280683
Inferior colliculus,6.900990448,6.900990448,5.0,0.5575650193816752,0.770490985385735,-1.125023556901857,0.049181388546068475
Infralimbic area,39.336736392999995,39.336736392999995,1.0,0.7611611730002604,0.6473557218298348,-0.2439577415368896,0.4082482904638631
Intercalated amygdalar nucleus,10.753701585,10.753701585,2.0,0.773271986905278,0.7800929905196043,-0.8377481864135756,-1.4394412170586435
