Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz_pos,wmdz_neg
Agranular insular area,14.926474856,14.926474856,1.0,0.2884879052547634,0.0,-1.616392967378414,0.0
Agranular insular area posterior part,27.672339819,27.672339819,1.0,0.0,0.19509145346753676,-0.2567219344542762,0.0
Agranular insular area ventral part,7.946040634999999,7.946040634999999,2.0,0.4313801657636436,0.0,-0.36934566253217643,0.5585720668796385
Anterior amygdalar area,15.313660985,15.313660985,3.0,0.0,0.0,-0.16325208795412954,0.0
Anterior cingulate area dorsal part,28.450223575000003,28.450223575000003,3.0,0.49077870900073295,0.0,-0.018497688411040998,0.0
Anterior cingulate area ventral part,11.559239055,11.559239055,1.0,0.2523955144234301,0.4284468796666847,-1.8351579969472793,0.0
Anterior hypothalamic nucleus,36.554054022,36.554054022,3.0,0.4601684621050487,0.0,1.230955831384886,0.0
Anterodorsal nucleus,44.976230637,44.976230637,1.0,0.251636300833344,0.0,0.6876678274818807,0.0
Anterolateral visual area,44.416331879999994,44.416331879999994,1.0,0.1027648699634518,0.0,1.0122442017391713,0.0
Anteroventral nucleus of thalamus,47.25796553199999,47.25796553199999,1.0,0.44382006442360566,0.0,0.0865925555104593,0.0
Anteroventral periventricular nucleus,36.75365465899999,36.75365465899999,3.0,0.4982582026705956,0.0,0.17637904422469633,0.0
Anteroventral preoptic nucleus,33.88868403899999,33.88868403899999,1.0,0.0,0.0,0.2937299616282354,0.0
Basolateral amygdalar nucleus,8.071252904,8.071252904,2.0,0.0,0.21634916064651333,0.6810036647093501,0.5585720668796385
Bed nuclei of the stria terminalis,29.268004476,29.268004476,3.0,0.4221646593499305,0.0,0.7112107820154254,0.0
Caudoputamen,51.632375112000005,51.632375112000005,1.0,0.46076393231297474,0.0,0.21929208269727052,0.0
Central amygdalar nucleus,11.408853142,11.408853142,2.0,0.0,0.0,2.0157798320939824,0.5585720668796385
Central lateral nucleus of the thalamus,47.01687045200001,47.01687045200001,1.0,0.44727877933342575,0.0,0.05051977845587872,0.0
Central medial nucleus of the thalamus,33.168598800999995,33.168598800999995,3.0,0.36901537091946823,0.0,1.5119565507463104,0.0
Claustrum,4.182240435000001,4.182240435000001,2.0,0.0,0.0,-0.8742937909839831,0.5585720668796385
Cortical amygdalar area,20.288890563000002,20.288890563000002,3.0,0.0,0.0,0.6907876583426478,0.0
Cortical amygdalar area posterior part,9.677760735,9.677760735,2.0,0.0,0.0,1.3234797590964142,0.5585720668796385
Culmen,3.437925707,3.437925707,2.0,0.0,0.05598096873496183,-1.1719608239187331,0.5585720668796385
Dentate gyrus,49.81011813500001,49.81011813500001,1.0,0.30464526113453905,0.0,0.8767126641889371,0.0
Diagonal band nucleus,39.22043195699999,39.22043195699999,1.0,0.0,0.0,0.765851621406124,0.0
Dorsal auditory area,29.548566430000005,29.548566430000005,1.0,0.0,0.0,-0.09058369323805614,0.0
Dorsal part of the lateral geniculate complex,49.395754108999995,49.395754108999995,1.0,0.4287897730036254,0.0,0.3052267017557936,0.0
Dorsal peduncular area,42.45364067399999,42.45364067399999,1.0,0.036768802109425125,0.0,0.9817186531772153,0.0
Dorsomedial nucleus of the hypothalamus,37.476070049,37.476070049,3.0,0.4676163914837014,0.0,1.2431606931788424,0.0
Ectorhinal area,18.679343662,18.679343662,1.0,0.08301119320045602,0.2769856622157839,-1.124809637528541,0.0
Endopiriform nucleus,7.835351179000001,7.835351179000001,2.0,0.0,0.33600707193385115,0.5866616291384253,0.5585720668796385
Entorhinal area lateral part,7.659851295999999,7.659851295999999,2.0,0.0,0.4885573111483714,0.5164755539637774,0.5585720668796385
Entorhinal area medial part,9.511090170000001,9.511090170000001,2.0,0.0,0.0,1.2568247129247263,0.5585720668796385
Field CA1,52.561187721,52.561187721,1.0,0.39350332973235247,0.0,0.6940357721157937,0.0
Field CA2,53.592737637,53.592737637,1.0,0.3743860773658648,0.0,0.8550190730867705,0.0
Field CA3,53.391021583000004,53.391021583000004,1.0,0.38771058292118843,0.0,0.7770100945449082,0.0
Frontal pole cerebral cortex,47.56550827899999,47.56550827899999,1.0,0.35920702265416904,0.0,0.5163700116244023,0.0
Fundus of striatum,11.751371835999999,11.751371835999999,3.0,0.4285332009196464,0.47944666653953383,-1.402038429094914,0.0
Globus pallidus external segment,29.065753534999995,29.065753534999995,3.0,0.43122822135284755,0.0,0.6279220115227605,0.0
Gustatory areas,6.125203173999999,6.125203173999999,2.0,0.0,0.0,-0.09726233928213719,0.5585720668796385
Inferior colliculus,6.900990448,6.900990448,2.0,0.21084203145075509,0.6660144730203001,-0.11754107392959205,-0.8934054751672442
Infralimbic area,39.336736392999995,39.336736392999995,1.0,0.0,0.0,0.7761502784710005,0.0
Intercalated amygdalar nucleus,10.753701585,10.753701585,2.0,0.0,0.0,1.7537710167924367,0.5585720668796385
Interpeduncular nucleus,46.85271079799999,46.85271079799999,1.0,0.28798635130696526,0.0,0.7180839629631313,0.0
Lateral amygdalar nucleus,7.741306241,7.741306241,2.0,0.17875862774769602,0.0,0.24185971787229069,0.5585720668796385
