Region,centrality_pos,centrality_neg,partition,pc_pos,pc_neg,wmdz
Agranular insular area,41.223618201299985,-15.773622318160005,1.0,0.8890608115638744,0.1299106243143821,0.0
Agranular insular area posterior part,12.975490889300001,-37.85616612807083,2.0,0.579465761001726,0.9126427831031076,-2.89703716275403
Agranular insular area ventral part,38.573895017699996,-15.14503871659,3.0,0.8985145984984247,0.2430243479894176,0.0
Anterior amygdalar area,40.42865112069999,-10.45626183251,4.0,0.9084016101982927,0.6258384316237557,0.0
Anterior cingulate area dorsal part,20.683170236030005,-25.03081314096,2.0,0.5927120003080065,0.754805869407387,-0.2506497512168036
Anterior cingulate area ventral part,18.283826930140005,-30.081395188299993,2.0,0.4817242300572172,0.8357173958928198,-0.1709814011795608
Anterior hypothalamic nucleus,31.888243523099998,-16.90091782411,5.0,0.8899057427600654,0.5328447794679627,-0.8619961743164333
Anterodorsal nucleus,40.9127650647,-11.5470424644,6.0,0.9107555595218262,0.1975139913163946,0.0
Anterolateral visual area,29.224283624500003,-24.594251411010006,7.0,0.8289877787491488,0.6313385114741548,-0.01033552307315354
Anteroventral nucleus of thalamus,41.7673301845,-14.8165022477,8.0,0.9005962245190259,0.1606850927104516,0.0
Anteroventral periventricular nucleus,24.760469779210002,-31.850802378933995,2.0,0.4316044972557681,0.7656322630181815,0.9028098640890599
Anteroventral preoptic nucleus,25.96464682406499,-23.3696132072,7.0,0.7964093915926087,0.669400319707665,1.259955525065825
Basolateral amygdalar nucleus,33.78378565751,-17.563670073439994,5.0,0.8535835768357904,0.7459898407509729,0.7070247015079263
Bed nuclei of the stria terminalis,26.2907319827,-16.268082026940004,9.0,0.8040372174189397,0.7529966040726722,-0.6772077443033983
Caudoputamen,14.025708012499997,-37.94385834700999,2.0,0.470351713985674,0.9118970910079294,-0.9992683825829176
Central amygdalar nucleus,36.865494082709986,-21.176113307700007,2.0,0.77094234029298,0.5470025746369427,0.4877306406046074
Central lateral nucleus of the thalamus,40.090483778060005,-16.8311215049,10.0,0.8837873154028517,0.1240930325731955,0.0
Central medial nucleus of the thalamus,40.2017198654,-10.792290297400003,11.0,0.9435602899263793,0.5013725011428544,0.0
Claustrum,34.64161913588,-22.468915020350003,2.0,0.733199322818962,0.5280278231123419,0.6038220825817149
Cortical amygdalar area,28.999619270499988,-25.631786292899996,2.0,0.6799109671399041,0.7213003352129879,0.1594123419242509
Cortical amygdalar area posterior part,27.598334451200007,-24.909016230400002,12.0,0.7560669122838345,0.663454730817446,-0.6147830570499233
Culmen,27.716502084970006,-24.051207984239998,7.0,0.8111306320408064,0.3946165132363422,-0.2823612129938766
Dentate gyrus,37.43561009971001,-19.9525268331,7.0,0.8698027468973002,0.1833950421076822,-0.195129895273003
Diagonal band nucleus,30.742607721600013,-17.808378632500002,5.0,0.857149879797693,0.6525281794937048,0.3315008529266931
Dorsal auditory area,19.1433022821,-27.502438838110844,2.0,0.7476692477192708,0.8911639209435551,-1.96605173103012
Dorsal part of the lateral geniculate complex,36.36471692389999,-24.984316435400007,12.0,0.8056315117254018,0.4184944156711734,0.1413045614473631
Dorsal peduncular area,21.082710107089998,-26.255669810319,12.0,0.6628804031091087,0.8131453154596521,-1.324280994497963
Dorsomedial nucleus of the hypothalamus,38.135423511700004,-15.266162472760001,13.0,0.8714812888037822,0.6504783089337395,0.0
Ectorhinal area,32.9667100752,-21.73202563792,12.0,0.7576365080459425,0.5611644480051414,0.8528318709509038
Endopiriform nucleus,32.727691873800005,-28.692146846099998,2.0,0.6291140326270206,0.7156578758468093,1.114358444882377
Entorhinal area lateral part,30.124602296600006,-32.64747520580001,12.0,0.6903975560947546,0.5856289161754993,1.147450578417458
Entorhinal area medial part,35.06515680255001,-23.484723131649996,12.0,0.7827654011033924,0.3507603915817635,0.9198886646291461
Field CA1,35.81413731036002,-14.8111632397,14.0,0.9201911782708205,0.3862366143967664,0.0
Field CA2,38.382981223510015,-12.651514026700001,15.0,0.9299912570955262,0.6345856813656394,0.0
Field CA3,40.75604894840001,-13.76260968167,16.0,0.9086743452353745,0.1686121311138139,0.0
Frontal pole cerebral cortex,26.000987201800008,-23.18338538844,12.0,0.7908878688729943,0.7071380668134246,-2.333977203695334
Fundus of striatum,22.022450405200008,-30.4627060703,2.0,0.5096047098372557,0.7950721347844197,0.3098682023193228
Globus pallidus external segment,34.8660116134,-18.931690450709997,17.0,0.8281592087335332,0.4528675433859025,0.0
Gustatory areas,34.34530090939999,-24.06364223381999,12.0,0.7773039214231768,0.3830291583013795,0.8718611794917922
Inferior colliculus,29.047166800699998,-25.195431874419,7.0,0.7994816341494235,0.3860006481159596,-0.0515380483154072
Infralimbic area,28.944647703180003,-18.574681449050004,5.0,0.8363933765316247,0.7121393256511734,0.5973268409277578
Intercalated amygdalar nucleus,26.44662204972001,-33.7619368405,2.0,0.5077548259087212,0.7935881428238717,0.8774705646711831
Interpeduncular nucleus,16.777834911130473,-26.066477365410005,7.0,0.6087732256981981,0.7431775861778289,0.9435157285338333
Lateral amygdalar nucleus,31.374994089030007,-19.48232751911,5.0,0.8228488712247957,0.7588682419953698,0.5876153652498556
Lateral dorsal nucleus of thalamus,36.63580224314999,-24.308293170600006,7.0,0.8194289401738111,0.2947241331066783,-0.6704910401700912
Lateral habenula,36.20753505083,-16.0598783455,17.0,0.8910499937762073,0.4784911704969043,0.0
Lateral hypothalamic area,20.114808306510003,-27.190043507038997,2.0,0.7364671291493274,0.8439070043358563,-2.053640918769871
Lateral posterior nucleus of the thalamus,31.751780933020008,-29.90045379319999,12.0,0.7866765818097683,0.6134478698500525,-0.9454904047008337
Lateral preoptic area,36.30319733896,-14.168751411499999,18.0,0.8756892919150981,0.699021044346638,0.0
Lateral septal complex,34.84745656850001,-9.307750985019998,19.0,0.8977064912990768,0.5546143054551971,0.0
Lateral visual area,30.115391393290004,-28.695684080000003,7.0,0.7918033172517742,0.5871442525555948,0.7851456423177176
Magnocellular nucleus,35.61564544571,-24.785552933899996,2.0,0.7121719222084364,0.5963647642967576,0.8896472636697176
Medial amygdalar nucleus,42.03106261463999,-9.3892963584,20.0,0.9470889230347415,0.5740745101207554,0.0
Medial geniculate complex,32.8740766854,-13.483834066399998,9.0,0.8945693198632517,0.719948240117696,0.09565845261215275
Medial habenula,37.60879083243003,-14.77572046068,21.0,0.8425483601993395,0.4208918103345445,0.0
Medial preoptic area,37.541583272459995,-20.650842903839994,12.0,0.811489820833954,0.2863355450607612,0.7769817439548303
Medial preoptic nucleus,31.173683333699998,-27.688493743369996,2.0,0.6777401044477851,0.6037187397269534,0.6187688465757262
Medial pretectal area,34.63122658894,-23.026614596889996,2.0,0.769176882837098,0.5420612060572735,0.2701584800130342
Medial septal nucleus,41.48941117685003,-15.10581275153,22.0,0.9026534663351019,0.1218337576188367,0.0
Median preoptic nucleus,30.57577622870001,-29.052651831299993,2.0,0.541894811000387,0.7057651181623656,1.311965416485106
Mediodorsal nucleus of thalamus,35.8047400069,-13.741248323506003,9.0,0.8634901452620082,0.3699020848311173,0.6641394237930761
Midbrain reticular nucleus,38.80536048617,-11.858106607400002,23.0,0.9293470659086639,0.5373761165228059,0.0
Nucleus accumbens,28.897051557599998,-18.467343574919997,5.0,0.7900185743468897,0.6097681462571196,-1.175012109105726
Olfactory tubercle,34.87059522156899,-16.294357465700003,5.0,0.8919449410598778,0.7424950921295808,0.3767998058210345
Olivary pretectal nucleus,31.089950561379997,-19.645605509800003,7.0,0.8691413830127535,0.5936280557473532,-1.743049882089698
Orbital area lateral part,35.69722535425999,-16.4655826683,5.0,0.877554596581613,0.7306564502838926,0.2193177449607277
Orbital area medial part,31.121511207999998,-19.4716593573,2.0,0.6849290908333934,0.6952587598976969,0.5058994667761064
Orbital area ventrolateral part,32.9093326885,-11.47115156028,9.0,0.8705768053544998,0.5533134846034318,-0.691876196845782
Parasubiculum,29.658528256599986,-27.123324908799997,12.0,0.7562850642130613,0.4642069592058337,0.0899704123120758
Parasubthalamic nucleus,15.302462928099997,-36.32634130829999,2.0,0.4692703918996644,0.8275133071871196,-0.5751923744835389
Parataenial nucleus,35.20422402655,-11.87931089042,24.0,0.9097967165780774,0.6312144394566535,0.0
Paraventricular hypothalamic nucleus,33.307909191789996,-19.349249480799998,2.0,0.7146519439032308,0.6516085924105459,0.5924420486413152
Paraventricular nucleus of the thalamus,23.771683132000003,-30.7300662471,2.0,0.5273526386603031,0.786206532456019,0.462185553539618
Pedunculopontine nucleus,24.08086333713,-31.256664687099995,12.0,0.6493459980787973,0.6306755544474646,0.1869975476710738
Periaqueductal gray,39.45876099941002,-10.191787950000002,25.0,0.9134615641937751,0.5676903737029735,0.0
Perirhinal area,32.3262228685,-18.77072389508,12.0,0.7807430720442811,0.5796440752108429,0.3064862734310532
Periventricular hypothalamic nucleus posterior part,34.60288578830001,-22.28644477590001,2.0,0.7524372966427295,0.6861199601201198,0.1907795450038297
Periventricular zone,37.919591347830014,-18.778292115,26.0,0.8057772842711548,0.6063904114278075,0.0
Piriform area,35.02467491454141,-15.994862700690003,27.0,0.8984112963284678,0.705588737536758,0.0
Piriform-amygdalar area,19.045533617060002,-32.64177693323001,2.0,0.6512995556649714,0.8108768354525551,-0.7410003233420097
Pons,28.760710761,-27.253760211099998,2.0,0.742995154052257,0.6154468399087027,-0.3610208244973523
Pons motor related,14.796025640159998,-28.199646939759997,7.0,0.5565968908503749,0.7652551313287148,0.448913676259622
Posterior amygdalar nucleus,35.23947075538002,-15.0058552514,28.0,0.9159764286462053,0.5724638267323584,0.0
Posterior complex of the thalamus,40.541860921190015,-16.541688402000002,29.0,0.8972242569789738,0.1327643605045312,0.0
Posterior hypothalamic nucleus,38.348661633,-14.423658475029997,30.0,0.8244869146173464,0.5636285264685554,0.0
Postsubiculum,17.5959964859,-30.365142244300003,7.0,0.6783262827901366,0.8165158755054469,-0.5391814402969016
Precommissural nucleus,30.42409707049046,-29.553220701240008,2.0,0.6215233118771493,0.6432404571680315,0.8848419144683748
Prelimbic area,28.147711664800003,-19.504137470830006,2.0,0.7537738428977947,0.6046973040792807,-0.4939036424106781
Presubiculum,25.53701386876,-23.720796336553995,7.0,0.7854675062852895,0.6693244385412825,1.448638845897842
Primary auditory area,34.00117831221999,-25.3070402715,12.0,0.7761066334217954,0.5209647119938807,0.4788627992538184
Primary motor area,32.82056072340001,-30.127303252200004,12.0,0.7420624663704698,0.5613327530225414,0.8198169873914336
Primary somatosensory area lower limb,30.98038230036001,-17.841024101600002,9.0,0.8693890266164649,0.647349031987785,0.723783239672167
Primary somatosensory area mouth,36.870881614000005,-23.101654290000003,12.0,0.8202250317202212,0.2278009460230254,0.1490922210294046
Primary somatosensory area trunk,33.678955264149,-12.458754960399999,9.0,0.8506612133294871,0.672707903704528,-1.748261198593315
Primary somatosensory area upper limb,30.96651266715001,-20.64998770269,9.0,0.841249904843598,0.6249763409356404,0.2262918635685893
Primary visual area,39.37549299599999,-18.2660817021,31.0,0.8364847475549334,0.1992661746563584,0.0
Reticular nucleus of the thalamus,41.47431424166001,-15.03788943201,32.0,0.8930462533150707,0.08816637276359074,0.0
Retrochiasmatic area,17.7521896692,-35.010293332999986,2.0,0.493019502416282,0.8297407106639907,-0.5187953341027922
Retrosplenial area dorsal part,18.479655917800002,-31.337865549540002,7.0,0.7686264575382167,0.8073879952572269,-2.279345610528004
Retrosplenial area ventral part,23.861856483990003,-24.619987415,2.0,0.7358798997183723,0.7899488947212244,-1.003652222273984
Secondary motor area,25.684115822000003,-25.305358718199997,12.0,0.6737303759191668,0.737651984710737,0.2056658364815959
Subiculum,23.24050879156999,-21.548880819460006,7.0,0.8264006219049267,0.5927022996139273,-0.0956122742688478
Subparaventricular zone,40.24373230664501,-10.538981726480001,33.0,0.9124950141136174,0.5969699628610312,0.0
Substantia innominata,37.25024945268999,-18.224535730509995,34.0,0.7604807865626553,0.5402732121909339,0.0
Substantia nigra compact part,37.67315146184,-15.452412176479998,35.0,0.8838717482200815,0.3596182356531981,0.0
Substantia nigra reticular part,25.14623397679,-20.53735939158,7.0,0.8250151971786783,0.5349601139978724,0.5930966394801747
Subthalamic nucleus,24.2397769111,-28.808510195329003,2.0,0.4801349149752447,0.7978540154546341,0.6319947182356493
Superior colliculus motor related,37.57504867280001,-16.601419318299996,36.0,0.8733353409914393,0.3550768240105426,0.0
Superior colliculus sensory related,33.270113449229996,-14.395862060000002,9.0,0.8732855549138812,0.5696862983493655,1.407472160096515
Supplemental somatosensory area,14.844781413049999,-39.086005893500015,12.0,0.4787206606640135,0.8468512233420056,-1.324809006515025
Suprachiasmatic nucleus,15.771128503819998,-33.8321611747,2.0,0.5944319456096894,0.8623277674804709,-1.296727193817889
Taenia tecta,32.177434252199994,-14.180725219,5.0,0.8504506899833983,0.4887253525546952,-1.983166250063468
Temporal association areas,31.592330917239998,-26.647131395100004,12.0,0.7215178128005959,0.6138440684992885,1.092400956948959
Tuberal nucleus,19.221347685521405,-39.42029722740002,2.0,0.2482581088852732,0.8189923203362416,0.6555472883380845
Ventral anterior-lateral complex of the thalamus,32.991090546879995,-15.899150278099999,5.0,0.8821110216845199,0.7348799685119699,1.200589222091623
Ventral auditory area,22.21419328199,-34.7858628784,12.0,0.664086787063584,0.7869812495979608,-0.7364587994417611
Ventral medial nucleus of the thalamus,30.352375614699987,-30.903376369899995,2.0,0.5169701121226615,0.7245603994695833,1.428213342424824
Ventral tegmental area,21.702272298409994,-25.010569308206005,7.0,0.7389717892969818,0.7433767251485484,0.3877788694539573
Ventrolateral preoptic nucleus,29.889307004050004,-27.764569965299998,2.0,0.7422404448576949,0.633060947212106,-0.00972743365884938
Ventromedial hypothalamic nucleus,37.65599638069998,-17.523021808980005,37.0,0.8342247395515886,0.5414381259306154,0.0
Visceral area,14.386243609600005,-37.74024493498,12.0,0.4847219500141454,0.8940773289432983,-1.678083587032599
Zona incerta,25.373345857600004,-29.337171054199995,2.0,0.5630509652606868,0.7457851644068614,0.4397326708764936
posteromedial visual area,31.702072276900005,-22.248418910789994,12.0,0.7426937951349323,0.5732631522333422,0.9182714195225676
